Hospital ID,Formal Name,Other Name,Emergency Capable,Location Address,Suburb,Postcode,Access Point,Category,Agency Type
"2418","Bellbird Private Hospital","Bellbird Private Hospital","NO","198 Canterbury Road","Blackburn","3130","","PRIVATE","Private Hospital"
"3217","Benalla Health","Benalla Health","NO","45-63 Coster Street","Benalla","3672","","PUBLIC","Public Hospital"
"12695","Bendigo Day Surgery","Bendigo Day Surgery","NO","1-7 Chum Street","Bendigo","3550","","PRIVATE","Day Procedure Centre"
"3292","Bendigo Health","Bendigo Health","YES","62 Lucan St ","Bendigo","3550","","PUBLIC","Public Hospital"
"12472","Bentleigh Surgicentre","Bentleigh Surgicentre","NO","155 Jasper Road","Bentleigh","3204","","PRIVATE","Day Procedure Centre"
"11462","Berwick Surgicentre","Berwick Surgicentre","NO","22 Langmore Lane","Berwick","3806","","PRIVATE","Day Procedure Centre"
"6103","Boort District Health","Boort District Health","NO","31 Kiniry Street","Boort","3537","","PUBLIC","Public Hospital"
"3403","Box Hill Hospital","Box Hill Hospital","YES","51 Nelson Road ","Box Hill","3128","","PUBLIC","Public Hospital"
"10769","Brighton Plastic Surgery Centre","Brighton Plastic Surgery Centre","NO","206 New Street","Brighton","3186","","PRIVATE","Day Procedure Centre"
"10815","Broadmeadows Health Service","Broadmeadows Health Service","NO","35 Johnstone St","Broadmeadows","3047","","PUBLIC","Public Hospital"
"2517","Brunswick Private Hospital","Brunswick Private Hospital","NO","82 Moreland Road","Brunswick","3056","","PRIVATE","Private Hospital"
"3574","Bundoora Extended Care Centre","Bundoora Extended Care Centre","NO","1231 Plenty Road","Bundoora","3083","","PUBLIC","Public Hospital"
"2421","Cabrini Brighton","Cabrini Brighton","NO","243 New Street","Brighton","3186","","PRIVATE","Private Hospital"
"2445","Cabrini Health Elsternwick Rehabilitation Service","Cabrini Health Elsternwick Rehabilitation Service","NO","494 Glenhuntly Road","Elsternwick","3185","","PRIVATE","Private Hospital"
"2456","Cabrini Hopetoun Rehabilitation","Cabrini Hopetoun Rehabilitation","NO","2-4 Hopetoun Street","Elsternwick","3185","","PRIVATE","Private Hospital"
"2499","Cabrini Malvern","Cabrini Malvern","NO","181-183 Wattletree Road","Malvern","3144","","PRIVATE","Private Hospital"
"11344","Cabrini Prahran","Cabrini Prahran","NO","646 High Street","Prahran East","3181","","PRIVATE","Private Hospital"
"3384","Calvary Health Care Bethlehem Ltd.","Calvary Health Care Bethlehem Ltd.","NO","476 Kooyong Road","Caulfield","3162","","PUBLIC","Denominational Hospital"
"3385","Caritas Christi Hospice Ltd","Caritas Christi Hospice Ltd","NO","104 Studley Park Road","Kew","3101","","PUBLIC","Denominational Hospital"
"12280","Casey Hospital","Casey Hospital","YES","52 Kangan Drive","Berwick","3806","","PUBLIC","Public Hospital"
"6151","Casterton Memorial Hospital","Casterton Memorial Hospital","NO","63-69 Russell Street","Casterton","3311","","PUBLIC","Public Hospital"
"3397","Caulfield Hospital","Caulfield Hospital","NO","260 Kooyong Road","Caulfield","3162","","PUBLIC","Public Hospital"
"11269","Central Gippsland Health Service","Central Gippsland Health Service","YES","155 Guthridge Parade","Sale","3850","","PUBLIC","Public Hospital"
"10434","Central Highlands Rural Health","Central Highlands Rural Health","NO","13 Hospital Street","Daylesford","3460","","PUBLIC","Public Hospital"
"5495","Chesterville Day Hospital","Chesterville Day Hospital","NO","28 Chesterville Road","Cheltenham","3192","","PRIVATE","Day Procedure Centre"
"2432","Cobden District Health Service Inc.","Cobden District Health Service Inc.","NO","5 Victoria Street","Cobden","3266","","PRIVATE","Bush Nursing Hospital"
"12057","Coburg Endoscopy Centre","Coburg Endoscopy Centre","NO","15 Munro Street","Coburg","3058","","PRIVATE","Day Procedure Centre"
"3333","Cohuna District Hospital","Cohuna District Hospital","NO","144-158 King George Street","Cohuna","3568","","PUBLIC","Public Hospital"
"3463","Colac Area Health","Colac Area Health","NO","2-28 Conner St","Colac","3250","","PUBLIC","Public Hospital"
"3335","Corryong Health","Corryong Health","NO","20 Kiell Street","Corryong","3707","","PUBLIC","Multi Purpose Service"
"12694","Corymbia House","Corymbia House","NO","92-94 David Street","Dandenong","3175","","PRIVATE","Day Procedure Centre"
"2435","Cotham Private Hospital","Cotham Private Hospital","NO","209 Cotham Road","Kew","3101","","PRIVATE","Private Hospital"
"12580","Craigieburn Health Service","Craigieburn Health Service","NO","350 Craigieburn Road West","Craigieburn","3064","","PUBLIC","Public Hospital"
"12583","Cranbourne Integrated Care Centre","Cranbourne Integrated Care Centre","NO","140-154 Sladen Street","Cranbourne","3977","","PUBLIC","Public Hospital"
"2575","Dandenong Eye Clinic","Dandenong Eye Clinic","NO","1-3 Falkiner Crescent","Dandenong","3175","","PRIVATE","Day Procedure Centre"
"3405","Dandenong Hospital","Dandenong Hospital","YES","105-135 David Street","Dandenong","3175","","PUBLIC","Public Hospital"
"11880","Darebin Endoscopy Services","Darebin Endoscopy Services","NO","42 Station Street","Fairfield","3078","","PRIVATE","Day Procedure Centre"
"2439","Delmont Private Hospital","Delmont Private Hospital","NO","298 Warrigal Road","Burwood","3125","","PRIVATE","Private Hospital"
"3386","Dental Health Services Victoria","Dental Health Services Victoria","NO","720 Swanston Street","Carlton","3053","","PUBLIC","Public Hospital"
"6526","Dhelkaya Health [Castlemaine Health]","Dhelkaya Health [Castlemaine Health]","NO","142 Cornish Street","Castlemaine","3450","","PUBLIC","Public Hospital"
"3349","Dhelkaya Health [Maldon Hospital]","Dhelkaya Health [Maldon Hospital]","NO","Chapel Street","Maldon","3463","","PUBLIC","Public Hospital"
"2440","Diamond Valley Renal Care Centre","Diamond Valley Renal Care Centre","NO","Grimshaw Street","Greensborough","3088","","PRIVATE","Day Procedure Centre"
"5472","Digestive Health Centre","Digestive Health Centre","NO","90 David Street","Dandenong","3175","","PRIVATE","Day Procedure Centre"
"2441","Donvale Rehabilitation Hospital","Donvale Rehabilitation Hospital","NO","1119-1121 Doncaster Road","Donvale","3111","","PRIVATE","Private Hospital"
"2444","Dorset Rehabilitation Centre","Dorset Rehabilitation Centre","NO","146 Derby Street","Pascoe Vale","3044","","PRIVATE","Private Hospital"
"12197","Dr Walters Vasectomy Centre","Dr Walters Vasectomy Centre","NO","486 Burwood Highway","Vermont South","3133","","PRIVATE","Day Procedure Centre"
"3301","East Grampians Health Service","East Grampians Health Service","NO","Lot 5B Girdlestone Street ","Ararat","3377","","PUBLIC","Public Hospital"
"11390","East Melbourne Day Procedure Centre","East Melbourne Day Procedure Centre","NO","116 - 118 Wellington Parade","East Melbourne","3002","","PRIVATE","Day Procedure Centre"
"10433","East Wimmera Health Service","East Wimmera Health Service","NO","52 North Western Road","St Arnaud","3478","","PUBLIC","Public Hospital"
"11518","Eastern Health","Eastern Health","NO","Level 4, 5 Arnold Street","Box Hill","3128","","PUBLIC","Public Hospital"
"11911","Eastside Endoscopy Centre","Eastside Endoscopy Centre","NO","33 Wantirna Road","Ringwood","3134","","PRIVATE","Day Procedure Centre"
"3052","Echuca Regional Health","Echuca Regional Health","YES","9-27 Frances Street","Echuca","3564","","PUBLIC","Public Hospital"
"2431","Epworth Cliveden","Epworth Cliveden","NO","29 Simpson Street","East Melbourne","3002","","PRIVATE","Private Hospital"
"2571","Epworth Eastern Hospital","Epworth Eastern Hospital","NO","1 Arnold Street","Box Hill","3128","","PRIVATE","Private Hospital"
"2450","Epworth Freemasons","Epworth Freemasons","NO","166 Clarendon Street","East Melbourne","3002","","PRIVATE","Private Hospital"
"2449","Epworth Rehabilitation Brighton","Epworth Rehabilitation Brighton","NO","85-91 Wilson Street","Brighton","3186","","PRIVATE","Private Hospital"
"2424","Epworth Rehabilitation Camberwell","Epworth Rehabilitation Camberwell","NO","888 Toorak Road","Camberwell","3124","","PRIVATE","Private Hospital"
"2447","Epworth Richmond","Epworth Richmond","YES","89 Bridge Road","Richmond","3121","","PRIVATE","Private Hospital"
"12198","Essendon Day Procedure Centre","Essendon Day Procedure Centre","NO","Level 2, 665 Mount Alexander Road","Moonee Ponds","3039","","PRIVATE","Day Procedure Centre"
"2415","Essendon Private Clinic","Essendon Private Clinic","NO","33-35 Rosehill Road","Essendon","3040","","PRIVATE","Private Hospital"
"6290","Euroa Health Inc","Euroa Health Inc","NO","36 Kennedy Street","Euroa","3666","","PRIVATE","Bush Nursing Hospital"
"3407","Footscray Hospital","Footscray Hospital","YES","160 Gordon Street","Footscray","3011","","PUBLIC","Public Hospital"
"11996","Forest Hill Dialysis Centre","Forest Hill Dialysis Centre","NO","Shops 26 & 27 Forest Hill Chase, 69 Mahoneys ","Forest Hill","3131","","PRIVATE","Day Procedure Centre"
"10767","Frances Perry House","Frances Perry House","NO","Levels 6 & 7 Cnr Grattan St & Flemington Rd","Parkville","3052","","PRIVATE","Private Hospital"
"3465","Frankston Hospital","Frankston Hospital","YES","Hastings Rd","Frankston","3199","","PUBLIC","Public Hospital"
"10771","Geelong Private Hospital","Geelong Private Hospital","NO","272 Ryrie St","Geelong","3220","","PRIVATE","Private Hospital"
"7230","Gippsland Southern Health Service","Gippsland Southern Health Service","NO","66 Koonwarra Road","Leongatha","3953","","PUBLIC","Public Hospital"
"12217","Glen Eira Day Surgery","Glen Eira Day Surgery","NO","554 Hawthorn Road","Caulfield South","3162","","PRIVATE","Day Procedure Centre"
"12289","Glenferrie Private Hospital","Glenferrie Private Hospital","NO","25 Linda Crescent","Hawthorn","3122","","PRIVATE","Private Hospital"
"6333","Goulburn Valley Health","Goulburn Valley Health","YES","2 Graham Street","Shepparton","3630","","PUBLIC","Public Hospital"
"7783","Grampians Health [Ballarat Health Services]","Grampians Health [Ballarat Health Services]","YES","Drummond Street North","Ballarat","3353","","PUBLIC","Public Hospital"
"3340","Grampians Health [Edenhope and District Hospital]","Grampians Health [Edenhope and District Hospital]","NO","128-134 Elizabeth Street","Edenhope","3318","","PUBLIC","Public Hospital"
"3544","Grampians Health [Stawell Regional Health]","Grampians Health [Stawell Regional Health]","NO","27-29 Sloane Street ","Stawell","3380","","PUBLIC","Public Hospital"
"3595","Grampians Health [Wimmera Health Care Group]","Grampians Health [Wimmera Health Care Group]","YES","83 Baillie Street","Horsham","3400","","PUBLIC","Public Hospital"
"2454","Hawthorn Birth and Development Centre","Hawthorn Birth and Development Centre","NO","144 Barkers Road","Hawthorn","3122","","PRIVATE","Private Hospital"
"3510","Healesville and District Hospital","Healesville and District Hospital","NO","377 Maroondah Highway","Healesville","3777","","PUBLIC","Public Hospital"
"6355","Heathcote Health","Heathcote Health","NO","39 Hospital Street","Heathcote","3523","","PUBLIC","Public Hospital"
"10766","Heidelberg Endoscopy and Day Surgery Centre","Heidelberg Endoscopy and Day Surgery Centre","NO","177-179 Northern Road","Heidelberg","3081","","PRIVATE","Day Procedure Centre"
"6873","Hesse Rural Health Service","Hesse Rural Health Service","NO","8 Gosney Street","Winchelsea","3241","","PUBLIC","Public Hospital"
"2455","Heyfield Hospital Inc.","Heyfield Hospital Inc.","NO","21 Tyson Road","Heyfield","3858","","PRIVATE","Bush Nursing Hospital"
"3512","Heywood Rural Health","Heywood Rural Health","NO","21 Barclay Street","Heywood","3304","","PUBLIC","Public Hospital"
"10843","Hobson's Bay Endoscopy Centre Altona","Hobson's Bay Endoscopy Centre Altona","NO","5 Sargood Street","Altona","3018","","PRIVATE","Day Procedure Centre"
"12476","Hobson's Bay Werribee Endoscopy Centre","Hobson's Bay Werribee Endoscopy Centre","NO","179 Princes Highway","Werribee","3030","","PRIVATE","Day Procedure Centre"
"12643","Hyperbaric Health Wound Centre Berwick","Hyperbaric Health Wound Centre Berwick","NO","3 Gibb Street","Berwick","3806","","PRIVATE","Day Procedure Centre"
"6371","Inglewood and District Health Service","Inglewood and District Health Service","NO","3 Hospital Street","Inglewood","3517","","PUBLIC","Public Hospital"
"10910","Ivanhoe Endoscopy and Day Procedure Centre","Ivanhoe Endoscopy and Day Procedure Centre","NO","2/226 Upper Heidelberg Road","Ivanhoe","3079","","PRIVATE","Day Procedure Centre"
"2458","Jessie McPherson Private Hospital","Jessie McPherson Private Hospital","NO","246 Clayton Road","Clayton","3168","","PRIVATE","Private Hospital"
"2459","John Fawkner Private Hospital","John Fawkner Private Hospital","NO","275 Moreland Road","Coburg","3058","","PRIVATE","Private Hospital"
"5477","Jolimont Endoscopy","Jolimont Endoscopy","NO","19/201 Wellington Parade South","East Melbourne","3002","","PRIVATE","Day Procedure Centre"
"5493","Keilor Private","Keilor Private","NO","771 Old Calder Highway","Keilor","3036","","PRIVATE","Day Procedure Centre"
"3308","Kerang District Health","Kerang District Health","NO","13 Burgoyne Street","Kerang","3579","","PUBLIC","Public Hospital"
"12188","Kew Endoscopy Centre","Kew Endoscopy Centre","NO","Units 4/5, 828 High Street","Kew","3101","","PRIVATE","Day Procedure Centre"
"3346","Kilmore District Health","Kilmore District Health","NO","Rutledge Street","Kilmore","3764","","PUBLIC","Public Hospital"
"3558","Kingston Centre","Kingston Centre","NO","400 Warrigal Rd ","Cheltenham","3192","","PUBLIC","Public Hospital"
"2460","Knox Private Hospital","Knox Private Hospital","NO","262 Mountain Highway","Wantirna","3152","","PRIVATE","Private Hospital"
"3550","Kooweerup Regional Health Service","Kooweerup Regional Health Service","NO","Rossiter Rd","Kooweerup","3981","","PUBLIC","Public Hospital"
"6416","Kyabram District Health Service","Kyabram District Health Service","NO","88 Fenaughty Street","Kyabram","3620","","PUBLIC","Public Hospital"
"11042","La Trobe Private Hospital","La Trobe Private Hospital","NO","Cnr Plenty Road & Kingsbury Drive","Bundoora","3083","","PRIVATE","Private Hospital"
"6430","Latrobe Regional Hospital","Latrobe Regional Hospital","YES","Cnr Princes Highway & Village Avenue ","Traralgon West","3844","","PUBLIC","Public Hospital"
"2463","Linacre Private Hospital","Linacre Private Hospital","NO","12-16 Linacre Road","Hampton","3188","","PRIVATE","Private Hospital"
"3476","Mallee Track Health and Community Service","Mallee Track Health and Community Service","NO","28 Britt Street","Ouyen","3490","","PUBLIC","Multi Purpose Service"
"12290","Malvern Dialysis Centre","Malvern Dialysis Centre","NO","Ground Floor, 1133 Malvern Road","Malvern","3144","","PRIVATE","Day Procedure Centre"
"2464","Malvern Private Hospital","Malvern Private Hospital","NO","3-9 Wilton Vale Crescent","Malvern East","3145","","PRIVATE","Private Hospital"
"12392","Manningham Day Procedure Centre","Manningham Day Procedure Centre","NO","Level 3, 200 High Street","Lower Templestowe","3107","","PRIVATE","Day Procedure Centre"
"6465","Mansfield District Hospital","Mansfield District Hospital","NO","53 Highett Street","Mansfield","3722","","PUBLIC","Public Hospital"
"11343","Marie Stopes International East St Kilda","Marie Stopes International East St Kilda","NO","338 Dandenong Road","St Kilda East","3182","","PRIVATE","Day Procedure Centre"
"10764","Marie Stopes International Maroondah","Marie Stopes International Maroondah","NO","411 Dorset Road","Croydon","3136","","PRIVATE","Day Procedure Centre"
"3416","Maroondah Hospital","Maroondah Hospital","YES","1-15 Mt Dandenong Rd","East Ringwood","3135","","PUBLIC","Public Hospital"
"3312","Maryborough District Health Service","Maryborough District Health Service","NO","75-87 Clarendon St","Maryborough","3465","","PUBLIC","Public Hospital"
"2466","Maryvale Private Hospital","Maryvale Private Hospital","NO","McDonald Street","Morwell","3840","","PRIVATE","Private Hospital"
"2467","Masada Private Hospital","Masada Private Hospital","NO","26-28 Balaclava Road","East St Kilda","3183","","PRIVATE","Private Hospital"
"10772","Melbourne Day Surgery","Melbourne Day Surgery","NO","961 Glenhuntly Road","Caulfield","3162","","PRIVATE","Day Procedure Centre"
"5479","Melbourne Endoscopy Group DPC","Melbourne Endoscopy Group DPC","NO","34/517 St Kilda Road","Melbourne","3000","","PRIVATE","Day Procedure Centre"
"5478","Melbourne Endoscopy Monash Day Hospital (DPC)","Melbourne Endoscopy Monash Day Hospital (DPC)","NO","277 Clayton Road","Clayton","3168","","PRIVATE","Day Procedure Centre"
"11520","Melbourne Health","Melbourne Health","NO","Level 8 South, RMH, 300 Grattan Street","Parkville","3050","","PUBLIC","Public Hospital"
"12380","Melbourne Oral and Facial Surgery Pty Ltd","Melbourne Oral and Facial Surgery Pty Ltd","NO","Level 12, 63 Exhibition Street","Melbourne","3000","","PRIVATE","Day Procedure Centre"
"5480","Melbourne Private Hospital","Melbourne Private Hospital","NO","1f Royal Parade ","Parkville","3050","","PRIVATE","Private Hospital"
"12579","Melton Health","Melton Health","NO","195-209 Barries Road","Melton","3337","","PUBLIC","Public Hospital"
"3379","Mercy Health - O'Connell Family Centre","Mercy Health - O'Connell Family Centre","NO","6 Mont Albert Road","Canterbury","3126","","PUBLIC","Denominational Hospital"
"11607","Mercy Hospital for Women","Mercy Hospital for Women","YES","163 Studley Road","Heidelberg","3084","","PUBLIC","Denominational Hospital"
"3388","Mercy Hospitals Victoria Limited","Mercy Hospitals Victoria Limited","NO","Shelley Street","Richmond","3121","","PUBLIC","Denominational Hospital"
"2470","Mildura Private Hospital","Mildura Private Hospital","NO","220 Thirteenth Street","Mildura","3500","","PRIVATE","Private Hospital"
"2472","Mitcham Private Hospital","Mitcham Private Hospital","NO","27 Doncaster East Road","Mitcham","3132","","PRIVATE","Private Hospital"
"3289","Monash Health","Monash Health","NO","246 Clayton Road","Clayton","3168","","PUBLIC","Public Hospital"
"12060","Monash IVF Clinic","Monash IVF Clinic","NO","142 Little Ryrie Street","Geelong","3220","","PRIVATE","Day Procedure Centre"
"3390","Monash Medical Centre, Clayton Campus","Monash Medical Centre, Clayton Campus","YES","246 Clayton Road","Clayton","3168","","PUBLIC","Public Hospital"
"10757","Monash Medical Centre, Moorabbin Campus","Monash Medical Centre, Moorabbin Campus","NO","865 Centre Road","East Bentleigh","3165","","PUBLIC","Public Hospital"
"2473","Monash Surgical Private Hospital","Monash Surgical Private Hospital","NO","252-254 Clayton Road","Clayton","3168","","PRIVATE","Private Hospital"
"3572","Mount Eliza Rehabilitation, Aged and Palliative Care","Mount Eliza Rehabilitation, Aged and Palliative Care","NO","33 Jacksons Rd","Mt Eliza","3930","","PUBLIC","Public Hospital"
"2403","Moyne Health Services","Moyne Health Services","NO","Villiers Street","Port Fairy","3284","","PUBLIC","Public Hospital"
"2438","Mulgrave Private Hospital","Mulgrave Private Hospital","NO","535-559 Police Road","Mulgrave","3170","","PRIVATE","Private Hospital"
"10962","Murray Valley Private Hospital","Murray Valley Private Hospital","NO","63 Pearce St ","Wodonga","3690","","PRIVATE","Private Hospital"
"2480","Nagambie HealthCare","Nagambie HealthCare","NO","22 Church Street","Nagambie","3608","","PRIVATE","Bush Nursing Hospital"
"23471","NCN Health","NCN Health","NO","2 Katamatitie Road","Numurkah","3636","","PUBLIC","Public Hospital"
"2481","Neerim District Soldiers Memorial Hospital","Neerim District Soldiers Memorial Hospital","NO","29 Main Road","Neerim","3831","","PRIVATE","Private Hospital"
"10763","Noble Park Endoscopy Centre","Noble Park Endoscopy Centre","NO","1304 Heatherton Road","Noble Park","3174","","PRIVATE","Day Procedure Centre"
"2457","North Eastern Rehabilitation Centre","North Eastern Rehabilitation Centre","NO","134-142 Ford Street","Ivanhoe","3079","","PRIVATE","Private Hospital"
"6802","Northeast Health Wangaratta","Northeast Health Wangaratta","YES","35-47 Green Street","Wangaratta","3677","","PUBLIC","Public Hospital"
"11517","Northern Health","Northern Health","NO","201 Bell Street","Preston","3072","","PUBLIC","Public Hospital"
"2483","Northpark Private Hospital","Northpark Private Hospital","NO","10 Greenhills Road","Bundoora","3083","","PRIVATE","Private Hospital"
"10761","Northwest Day Hospital","Northwest Day Hospital","NO","221 Maribyrnong Road","Ascot Vale","3032","","PRIVATE","Day Procedure Centre"
"3355","Omeo District Health","Omeo District Health","NO","12 Easton Street","Omeo","3898","","PUBLIC","Public Hospital"
"6582","Orbost Regional Health","Orbost Regional Health","NO","Boundary Road","Orbost","3888","","PUBLIC","Multi Purpose Service"
"12168","PANCH Health Service","PANCH Health Service","NO","300 Bell Street","Preston","3072","","PUBLIC","Public Hospital"
"5482","Peninsula Endoscopy Centre","Peninsula Endoscopy Centre","NO","17 Yuille Street","Frankston","3199","","PRIVATE","Day Procedure Centre"
"3285","Peninsula Health","Peninsula Health","NO","c/- Frankston Hospital, Hastings Road","Frankston","3199","","PUBLIC","Public Hospital"
"12478","Peninsula Oncology Centre","Peninsula Oncology Centre","NO","24-28 Frankston-Flinders Road","Frankston","3199","","PRIVATE","Day Procedure Centre"
"2487","Peninsula Private Hospital","Peninsula Private Hospital","NO","49 McClelland Drive","Frankston","3199","","PRIVATE","Private Hospital"
"3577","Peter James Centre, The","Peter James Centre, The","NO","321-345 Burwood Hwy","Forest Hill","3131","","PUBLIC","Public Hospital"
"3591","Peter MacCallum Cancer Institute","Peter MacCallum Cancer Institute","NO","305 Grattan Street","Melbourne","3000","","PUBLIC","Public Hospital"
"6613","Portland District Health","Portland District Health","NO","Bentinck Street","Portland","3305","","PUBLIC","Public Hospital"
"3380","Queen Elizabeth Centre","Queen Elizabeth Centre","NO","53 Thomas Street","Noble Park","3174","","PUBLIC","Public Hospital"
"2497","Reservoir Private Hospital","Reservoir Private Hospital","NO","73-75 Pine Street","Reservoir","3073","","PRIVATE","Private Hospital"
"2498","Ringwood Private Hospital","Ringwood Private Hospital","NO","36 Mount Dandenong Road","Ringwood","3135","","PRIVATE","Private Hospital"
"11258","Robinvale District Health Services","Robinvale District Health Services","NO","128-132 Latje Road","Robinvale","3549","","PUBLIC","Multi Purpose Service"
"6648","Rochester and Elmore District Health Service","Rochester and Elmore District Health Service","NO","1 Pascoe Street","Rochester","3561","","PUBLIC","Public Hospital"
"5475","Rosebud Endoscopy","Rosebud Endoscopy","NO","1537 Point Nepean Road","Rosebud West","3940","","PRIVATE","Day Procedure Centre"
"3466","Rosebud Hospital","Rosebud Hospital","YES","1527 Point Nepean Road","Rosebud","3939","","PUBLIC","Public Hospital"
"3424","Royal Melbourne Hospital - City Campus","Royal Melbourne Hospital - City Campus","YES","300 Grattan Street","Parkville","3050","","PUBLIC","Public Hospital"
"3564","Royal Melbourne Hospital - Royal Park Campus","Royal Melbourne Hospital - Royal Park Campus","NO","34-55 Poplar Road","Parkville","3052","","PUBLIC","Public Hospital"
"3402","Royal Talbot Rehabilitation Centre","Royal Talbot Rehabilitation Centre","NO","1 Yarra Boulevard","Kew","3101","","PUBLIC","Public Hospital"
"11011","Rural Northwest Health","Rural Northwest Health","NO","Lot 1 Dimboola Road","Warracknabeal","3393","","PUBLIC","Public Hospital"
"3425","Sandringham Hospital","Sandringham Hospital","YES","193 Bluff Road","Sandringham","3191","","PUBLIC","Public Hospital"
"6675","Seymour Health","Seymour Health","NO","Lot 2 Bretonneux Street ","Seymour","3660","","PUBLIC","Public Hospital"
"2501","Shepparton Private Hospital","Shepparton Private Hospital","NO","20 Fitzgerald Street","Shepparton","3630","","PRIVATE","Private Hospital"
"5481","Sir John Monash Private Hospital","Sir John Monash Private Hospital","NO","212-220 Clayton Road","Clayton","3168","","PRIVATE","Day Procedure Centre"
"2502","South Eastern Private Hospital","South Eastern Private Hospital","NO","313-329 Princes Highway","Noble Park","3174","","PRIVATE","Private Hospital"
"6691","South Gippsland Hospital","South Gippsland Hospital","NO","87 Station Road","Foster","3960","","PUBLIC","Public Hospital"
"11268","South West Healthcare","South West Healthcare","NO","Ryot Street","Warrnambool","3280","","PUBLIC","Public Hospital"
"2823","South West Healthcare, Camperdown Campus","South West Healthcare, Camperdown Campus","NO","9 Robinson Street","Camperdown","3260","","PUBLIC","Public Hospital"
"3451","South West Healthcare, Warrnambool Campus","South West Healthcare, Warrnambool Campus","YES","Ryot Street","Warrnambool","3280","","PUBLIC","Public Hospital"
"11329","Southern Cross Specialist Centre Day Surgery","Southern Cross Specialist Centre Day Surgery","NO","250 Childs Road","Mill Park","3082","","PRIVATE","Day Procedure Centre"
"10768","Southern Eye Centre, Day Surgery and Laser Centre","Southern Eye Centre, Day Surgery and Laser Centre","NO","44 Cranbourne Road","Frankston","3199","","PRIVATE","Day Procedure Centre"
"12291","Specialist Surgicentre Docklands","Specialist Surgicentre Docklands","NO","Tenancy 2, 22 Rakaia Way","Docklands","3008","","PRIVATE","Day Procedure Centre"
"12470","Specialist Surgicentre Geelong","Specialist Surgicentre Geelong","NO","200 Malop Street","Geelong","3220","","PRIVATE","Day Procedure Centre"
"10760","Springvale Endoscopy Services","Springvale Endoscopy Services","NO","20 Balmoral Avenue","Springvale","3171","","PRIVATE","Day Procedure Centre"
"11391","St Alban's Endoscopy Centre","St Alban's Endoscopy Centre","NO","328-330 Station Road","St Albans","3021","","PRIVATE","Day Procedure Centre"
"3429","St George's Health Service","St George's Health Service","NO","283 Cotham Road","Kew","3101","","PUBLIC","Public Hospital"
